clip_id,split,event_type,seed,center_frame,a_frame,b_frame,residual,boundary,flow_disagreement,track_toggle,ghost,is_true_event,candidate_score,selected,smooth_score,event_score,delta_event,accepted,matched_lifespan_delta,matched_lifespan_accepted,matched_lifespan_identity_reconnected,no_identity_delta,no_identity_accepted,no_identity_reconnected,unnormalized_delta,unnormalized_accepted,no_hysteresis_accepted,identity_reconnected
calibration_hide_reveal_00_000,calibration,hide_reveal,0,14,10,18,0.8527621423235464,0.8338595219899019,0.7321537321683613,0.8567726629980339,0.7507345196907487,True,0.814514147080716,True,0.6367174362282575,0.07105721164909244,-0.5656602245791651,True,-0.21566022457916506,True,False,-0.21566022457916506,True,False,-340.56148480176927,True,True,True
calibration_hide_reveal_00_001,calibration,hide_reveal,17,14,10,18,0.7770103386857372,0.8052497716122797,0.7376070363991961,0.8761220251202818,0.7498527193361197,True,0.7932961118120118,True,0.6380554445990363,0.07065460189581921,-0.5674008427032171,True,-0.21740084270321716,True,False,-0.21740084270321716,True,False,-339.6654391169548,True,True,True
calibration_hide_reveal_00_002,calibration,hide_reveal,34,14,10,18,0.7746133101628878,0.7994705226752598,0.7085183597492918,0.7574109135318373,0.7138097039365342,True,0.7580877832594162,True,0.635770619397285,0.07091155249635774,-0.5648590669009272,True,-0.2148590669009272,True,False,-0.2148590669009272,True,False,-340.12025212049485,True,True,True
calibration_hide_reveal_00_003,calibration,hide_reveal,51,14,10,18,0.8731219483127742,0.7486409788309758,0.676319477753587,0.8339133591819851,0.6198842328657419,True,0.7694757224596261,True,0.6380930975400996,0.0707929103801207,-0.5673001871599789,True,-0.2173001871599789,True,False,-0.2173001871599789,True,False,-342.58847855329515,True,True,True
calibration_hide_reveal_00_004,calibration,hide_reveal,68,14,10,18,0.7730036537131312,0.7261075655103129,0.6401421591790393,0.8807193439825853,0.634470685485381,True,0.742397173986724,True,0.6382336245238753,0.07077878153880644,-0.5674548429850689,True,-0.21745484298506884,True,False,-0.21745484298506884,True,False,-341.94834851026536,True,True,True
calibration_hide_reveal_00_005,calibration,hide_reveal,85,14,10,18,0.7752931294885419,0.74514852929448,0.7214891943634747,0.7929008719110777,0.7000668267602076,True,0.7529951106266867,True,0.6367061279347543,0.07084390417908534,-0.565862223755669,True,-0.21586222375566896,True,False,-0.21586222375566896,True,False,-340.8111557841301,True,True,True
calibration_hide_reveal_00_006,calibration,hide_reveal,102,14,10,18,0.8834039996431969,0.8011194728867906,0.6255547437008462,0.8836087694850226,0.7403337608026449,True,0.7969969468499352,True,0.6392298254127196,0.0708843389086293,-0.5683454865040902,True,-0.21834548650409033,True,False,-0.21834548650409033,True,False,-342.21255539655687,True,True,True
calibration_hide_reveal_00_007,calibration,hide_reveal,119,14,10,18,0.7983199761639297,0.8139162063443558,0.6763341082792576,0.8439443039932861,0.7979639195496188,True,0.7869111200365421,True,0.6363514313388168,0.07060430010557417,-0.5657471312332426,True,-0.21574713123324268,True,False,-0.21574713123324268,True,False,-341.77045010328294,True,True,True
calibration_boundary_occlusion_00_000,calibration,boundary_occlusion,101,14,10,18,0.8806292682500494,0.820389495453659,0.6891406590242689,0.8648487250111664,0.7220749296970262,True,0.8082600607027168,True,0.6390754330493476,0.07070544570535559,-0.568369987343992,True,-0.21836998734399204,True,False,-0.21836998734399204,True,False,-341.4086613535881,True,True,True
calibration_boundary_occlusion_00_001,calibration,boundary_occlusion,118,14,10,18,0.8595359758211509,0.723841498705024,0.6774363007592079,0.882445792247192,0.7023210238681769,True,0.7780528896196414,True,0.6374108894233179,0.070459743408884,-0.5669511460144339,True,-0.216951146014434,True,False,-0.216951146014434,True,False,-343.81661080121995,True,True,True
calibration_boundary_occlusion_00_002,calibration,boundary_occlusion,135,14,10,18,0.7381952409608864,0.7457053419409835,0.771154929343852,0.8172708127125248,0.7881898955562632,True,0.7674792836923692,True,0.637926567690113,0.07060498715109484,-0.5673215805390182,True,-0.2173215805390182,True,False,-0.2173215805390182,True,False,-339.2913813471794,True,True,True
calibration_boundary_occlusion_00_003,calibration,boundary_occlusion,152,14,10,18,0.8930180873999524,0.8273027920614475,0.6942441892447353,0.9498975725676636,0.7166688044924425,True,0.830575452677074,True,0.6366877691311917,0.07076892773951554,-0.5659188413916763,True,-0.21591884139167622,True,False,-0.21591884139167622,True,False,-341.70781182050706,True,True,True
calibration_boundary_occlusion_00_004,calibration,boundary_occlusion,169,14,10,18,0.7816451751472947,0.7309505690784742,0.6654867727200636,0.9297305820682619,0.7065818890910012,True,0.7678505959232075,True,0.6372191491627222,0.07062685376886371,-0.5665922953938585,True,-0.2165922953938584,True,False,-0.2165922953938584,True,False,-341.71352432966233,True,True,True
calibration_boundary_occlusion_00_005,calibration,boundary_occlusion,186,14,10,18,0.7583823917403738,0.6848624054186324,0.722582648298602,0.9067538764777373,0.687970679186654,True,0.7554755721636848,True,0.638427226757216,0.07082144110459314,-0.5676057856526229,True,-0.21760578565262284,True,False,-0.21760578565262284,True,False,-340.4709858775139,True,True,True
calibration_boundary_occlusion_00_006,calibration,boundary_occlusion,203,14,10,18,0.7988216411079391,0.7837222820025186,0.6585831616108571,0.8492474931601304,0.65917159851954,True,0.7631192715837659,True,0.6372770483325854,0.07077373276910325,-0.5665033155634821,True,-0.21650331556348218,True,False,-0.21650331556348218,True,False,-341.05125855207444,True,True,True
calibration_boundary_occlusion_00_007,calibration,boundary_occlusion,220,14,10,18,0.8433479129490692,0.8331118206571289,0.7317466407081599,0.8469123435357124,0.6864081245397283,True,0.8034875427042968,True,0.6395903325884049,0.07081029069068824,-0.5687800418977167,True,-0.21878004189771677,True,False,-0.21878004189771677,True,False,-343.5823187708855,True,True,True
